Estuary,Sampling site,Chlorophyll RFU,Chlorophyll ug/L,Sal psu,Conductivity µS/cm,nLF Conductivity µS/cm,Specific Conductivity µS/cm,TDS Total Dissolved Solids mg/L,Depth max,fDOM fluorescent Dissolved Organic Matter QSU,fDOM fluorescent Dissolved Organic Matter RFU,ODO Optical Dissolved Oxygen % sat,ODO Optical Dissolved Oxygen % local,ODO Optical Dissolved Oxygen mg/L,BGA PE Phycoerythrin (algae) RFU,BGA PE Phycoerythrin (algae) ug/L,Turbidity FNU,pH,Temp °C,GPS Latitude °,GPS Longitude °,Barometer mmHg
Mackay Harbour,MA_S13,0.084655172,0.348448276,37.11137931,60476.45517,55575.31034,56060.02241,36439.03448,10.787,-0.379655172,-0.119137931,94.82586207,95.62931034,5.928448276,0.412241379,1.154482759,1.089827586,8.138196721,29.1187541,-21.10648492,149.2310836,757.5065574
Mackay Harbour,MA_S14,0.13925,0.567,37.10625,60616.02,55554.5625,56055.97,36436.4,3.676,-0.3725,-0.1185,88.295,89.0425,5.5075,0.55675,1.56,1.3755,8.10325,29.2588,-21.115238,149.225115,757.2575
St Helen's/Murray Creek,SH_S01,1.26875,5.085,36.62875,61581.55417,54805.7875,55488.23333,36067.375,2.94,16.94333333,4.895,114.1375,115.1083333,6.970833333,2.76375,7.74125,0.007916667,7.735,30.75,-20.90963208,148.8394917,753.9742857
St Helen's/Murray Creek,SH_S02,1.051071429,4.210714286,37.15928571,62385.42143,55506.425,56199.35357,36529.57143,1.766,13.93571429,4.024285714,115.0178571,115.9964286,7.005714286,2.683928571,7.516071429,4.013928571,7.713214286,30.76310714,-20.90590143,148.8414607,755.35
St Helen's/Murray Creek,SH_S03,0.854285714,3.428095238,38.11285714,63798.4381,56762.00476,57470.79048,37356.04762,1.109,13.62619048,3.934285714,108.8904762,109.8095238,6.594761905,1.722857143,4.825714286,-0.43047619,7.676190476,30.76452381,-20.89711524,148.8286571,755.175
St Helen's/Murray Creek,SH_S04,0.982903226,3.938064516,38.74741935,64451.42258,57616.60968,58303.3,37897.16129,1.669,10.46387097,3.019032258,97.59032258,98.42580645,5.91483871,2.032580645,5.695806452,6.39483871,7.69516129,30.52106452,-20.88755645,148.8307742,754.7761905
St Helen's/Murray Creek,SH_S05,0.927631579,3.719210526,38.86947368,64544.55526,57782.08684,58460.97105,37999.65789,2.363,9.644210526,2.782368421,101.8131579,102.6578947,6.172368421,1.863947368,5.221578947,7.904210526,7.795,30.44834211,-20.88757921,148.8425526,754.6129032
St Helen's/Murray Creek,SH_S06,0.288235294,1.161764706,38.43470588,63969.07255,57207.56275,57886.81373,37626.37255,4.802,3.342745098,0.958235294,108.9,109.8254902,6.613921569,0.630784314,1.768627451,3.000784314,8.033529412,30.50005882,-20.87273157,148.8431176,754.1921053
St Helen's/Murray Creek,SH_S07,1.396666667,5.599090909,38.00818182,63359.6697,56644.74242,57319.34848,37257.54545,1.894,18.63030303,5.383030303,91.60909091,92.38787879,5.574545455,2.183636364,6.113333333,2.882727273,7.407575758,30.51730303,-20.87830818,148.8116424,753.854902
St Helen's/Murray Creek,SH_S08,0.735142857,2.949714286,38.97742857,65100.09429,57895.95714,58621.80857,38104.2,2.839,8.097142857,2.333142857,108.6971429,109.6171429,6.551428571,1.431142857,4.009142857,3.599428571,7.866285714,30.78582857,-20.88041486,148.82306,753.869697
St Helen's/Murray Creek,SH_S09,0.282571429,1.136857143,38.38457143,63906.52,57142.01429,57821.56286,37584.02857,2.785,3.388857143,0.970571429,106.5457143,107.4514286,6.471428571,0.624857143,1.752,2.202857143,8.033714286,30.50971429,-20.88243229,148.8296457,754.1685714
St Helen's/Murray Creek,SH_S10,0.163666667,0.666166667,38.16716667,63605.99167,56855.61833,57533.84667,37397.01667,6.301,1.77,0.502333333,105.7066667,106.6066667,6.425333333,0.395833333,1.110333333,0.9645,8.072833333,30.5257,-20.88342033,148.834255,754.4533333
